conference,title,abstract
USENIX Security '10,Re: CAPTCHAsâ€”Understanding CAPTCHA-Solving Services in an Economic Context,No Abstract
USENIX Security '10,Chipping Away at Censorship Firewalls with User-Generated Content,No Abstract
USENIX Security '10,Fighting Coercion Attacks in Key Generation using Skin Conductance,No Abstract
USENIX Security '10,Realization of RF Distance Bounding,No Abstract
USENIX Security '10,The Case for Ubiquitous Transport-Level Encryption,No Abstract
USENIX Security '10,Automatic Generation of Remediation Procedures for Malware Infections,No Abstract
USENIX Security '10,VEX: Vetting Browser Extensions for Security Vulnerabilities,No Abstract
USENIX Security '10,Securing Script-Based Extensibility in Web Browsers,No Abstract
USENIX Security '10,AdJail: Practical Enforcement of Confidentiality and Integrity Policies on Web Advertisements,No Abstract
USENIX Security '10,Scantegrity II Municipal Election at Takoma Park: The First E2E Binding Governmental Election with Ballot Privacy,No Abstract
USENIX Security '10,Acoustic Side-Channel Attacks on Printers,No Abstract
USENIX Security '10,Security and Privacy Vulnerabilities of In-Car Wireless Networks: A Tire Pressure Monitoring System Case Study,No Abstract
USENIX Security '10,"Dude, Where's That IP? Circumventing Measurement-based IP Geolocation",No Abstract
USENIX Security '10,Idle Port Scanning and Non-interference Analysis of Network Protocol Stacks Using Model Checking,No Abstract
USENIX Security '10,Building a Dynamic Reputation System for DNS,No Abstract
USENIX Security '10,ZKPDL: A Language-Based System for Efficient Zero-Knowledge Proofs and Electronic Cash,No Abstract
USENIX Security '10,P4P: Practical Large-Scale Privacy-Preserving Distributed Computation Robust against Malicious Users,No Abstract
USENIX Security '10,SEPIA: Privacy-Preserving Aggregation of Multi-Domain Network Events and Statistics,No Abstract
USENIX Security '10,Toward Automated Detection of Logic Vulnerabilities in Web Applications,No Abstract
USENIX Security '10,Baaz: A System for Detecting Access Control Misconfigurations,No Abstract
USENIX Security '10,Cling: A Memory Allocator to Mitigate Dangling Pointers,No Abstract
USENIX Security '10,BotGrep: Finding P2P Bots with Structured Graph Analysis,No Abstract
USENIX Security '10,Fast Regular Expression Matching Using Small TCAMs for Network Intrusion Detection and Prevention Systems,No Abstract
USENIX Security '10,Searching the Searchers with SearchAudit,No Abstract
USENIX Security '10,Structuring Protocol Implementations to Protect Sensitive Data,No Abstract
USENIX Security '10,PrETP: Privacy-Preserving Electronic Toll Pricing,No Abstract
USENIX Security '10,An Analysis of Private Browsing Modes in Modern Browsers,No Abstract
USENIX Security '10,Adapting Software Fault Isolation to Contemporary CPU Architectures,No Abstract
USENIX Security '10,Making Linux Protection Mechanisms Egalitarian with UserFS,No Abstract
USENIX Security '10,Capsicum: Practical Capabilities for UNIX,No Abstract
